team_name
Toronto Eagles
Montreal Raiders
Calgary Bruins
Ottawa Victorias
Vancouver Islanders
Toronto Penguins
Montreal Vipers
Calgary Cougars
Ottawa Kiltys
Vancouver Buccaneers
Baby Broomers
Rolling Stones
Game of Stones
Ice Unicorns
Ice Cougars
Calgary Fleur-de-Lys
Calgary Cubs
Cold Chinooks
Vancouver Fury
Curlers Terriers
Toronto Rockets
Montreal Braves
Super Atlantics
Montreal Bruins
Ice Dodgers
Ice Huskies
Broom Hawks
Super Salsa
Broom Mets
Stone Timberwolves
Calgary Rockets
Super Lords
Cold Islanders
Ottawa Greys
Ice Sabres
Toronto Olympics
Cold Travelways
Cold Colts
Cold Huskies
Stone Mariners
Calgary Metros
Ice Bulls
Montreal Lasers
