id,date,salary
1,2021-10-29,414.79
1,2021-11-30,4355.30
1,2021-12-31,4605.30
1,2022-01-31,4656.00
1,2022-02-28,4656.00
1,2022-03-31,4656.00
1,2022-04-29,4656.00
2,2022-01-31,665.67
2,2022-02-28,2329.84
2,2022-03-31,2329.84
2,2022-04-29,1886.06
3,2020-12-31,1590.62
3,2021-01-29,1815.46
3,2021-02-26,2223.94
3,2021-03-31,2118.04
3,2021-04-30,2118.04
3,2021-05-31,2118.04
3,2021-06-30,2118.04
3,2021-07-30,2118.04
3,2021-08-31,2118.04
3,2021-09-30,2118.04
3,2021-10-29,2319.76
3,2021-11-30,2503.14
3,2021-12-31,1723.42
3,2022-01-31,2329.84
3,2022-02-28,2329.84
3,2022-03-31,1823.35
3,2022-04-29,2773.62
4,2021-05-31,1109.45
4,2021-06-30,2118.04
4,2021-07-30,2118.04
4,2021-08-31,2118.04
4,2021-09-30,2118.04
4,2021-10-29,2118.04
4,2021-11-30,2118.04
4,2021-12-31,2368.04
4,2022-01-31,2329.84
4,2022-02-28,2096.86
4,2022-03-31,2329.84
4,2022-04-29,2329.84
5,2020-01-31,1423.19
5,2020-02-28,1925.49
5,2020-03-31,1925.49
5,2020-04-30,1312.83
5,2020-05-29,1925.49
5,2020-06-30,2013.01
5,2020-07-31,1925.49
5,2020-08-31,1925.49
5,2020-09-30,1925.49
5,2020-10-30,1925.49
5,2020-11-30,2200.56
5,2020-12-31,2175.49
5,2021-01-29,2017.18
5,2021-02-26,2118.04
5,2021-03-31,2302.22
5,2021-04-30,2214.31
5,2021-05-31,2118.04
5,2021-06-30,2118.04
5,2021-07-30,1636.67
5,2021-08-31,2118.04
5,2021-09-30,2118.04
5,2021-10-29,2218.90
5,2021-11-30,2118.04
5,2021-12-31,2368.04
5,2022-01-31,2329.84
5,2022-02-28,2329.84
5,2022-03-31,2329.84
5,2022-04-29,2329.84
6,2019-07-31,978.50
6,2019-08-30,1731.19
6,2019-09-30,1731.19
6,2019-10-31,1655.92
6,2019-11-29,1731.19
6,2019-12-31,1981.19
6,2020-01-31,1925.49
6,2020-02-28,1925.49
6,2020-03-31,1312.83
6,2020-04-30,1925.49
6,2020-05-29,1925.49
6,2020-06-30,1837.97
6,2020-07-31,1925.49
6,2020-08-31,1925.49
6,2020-09-30,1925.49
6,2020-10-30,1312.83
6,2020-11-30,1925.49
6,2020-12-31,2175.49
6,2021-01-29,2118.04
6,2021-02-26,1694.43
6,2021-03-31,1473.42
6,2021-04-30,2310.59
6,2021-05-31,2118.04
6,2021-06-30,2118.04
6,2021-07-30,2118.04
6,2021-08-31,2118.04
6,2021-09-30,2118.04
6,2021-10-29,2319.76
6,2021-11-30,2021.77
6,2021-12-31,2736.39
6,2022-01-31,2329.84
6,2022-02-28,2329.84
6,2022-03-31,2329.84
6,2022-04-29,2329.84
7,2021-08-31,1059.02
7,2021-09-30,2118.04
7,2021-10-29,2118.04
7,2021-11-30,2310.59
7,2021-12-31,2368.04
7,2022-01-31,2329.84
7,2022-02-28,2679.32
7,2022-03-31,1620.76
7,2022-04-29,2329.84
8,2020-02-28,866.47
8,2020-03-31,1925.49
8,2020-04-30,1925.49
8,2020-05-29,1925.49
8,2020-06-30,1925.49
8,2020-07-31,1925.49
8,2020-08-31,1925.49
8,2020-09-30,1925.49
8,2020-10-30,1925.49
8,2020-11-30,1925.49
8,2020-12-31,1924.34
8,2021-01-29,2319.76
8,2021-02-26,2118.04
8,2021-03-31,2302.22
8,2021-04-30,2118.04
8,2021-05-31,2319.76
8,2021-06-30,2118.04
8,2021-07-30,2118.04
8,2021-08-31,2118.04
8,2021-09-30,1540.39
8,2021-10-29,1916.32
8,2021-11-30,1636.67
8,2021-12-31,2368.04
8,2022-01-31,2329.84
8,2022-02-28,2562.82
8,2022-03-31,2025.95
8,2022-04-29,2329.84
9,2022-01-31,665.67
9,2022-02-28,2329.84
